Rule,Title
THE SPEAKER,Approval of the Journal
THE SPEAKER,Preservation of order 
THE SPEAKER,Control of Capitol facilities 
THE SPEAKER,Signature of documents
THE SPEAKER,Questions of order 
THE SPEAKER,Form of a question 
THE SPEAKER,Discretion to vote 
THE SPEAKER,Speaker pro tempore 
THE SPEAKER,Other responsibilities 
THE SPEAKER,Designation of travel 
THE SPEAKER,Committee appointment 
THE SPEAKER,Recess and convening authorities
OTHER OFFICERS AND OFFICIALS,Elections 
OTHER OFFICERS AND OFFICIALS,Clerk 
OTHER OFFICERS AND OFFICIALS,Sergeant-at-Arms 
OTHER OFFICERS AND OFFICIALS,Chief Administrative Officer 
OTHER OFFICERS AND OFFICIALS,Chaplain
OTHER OFFICERS AND OFFICIALS,Office of Inspector General 
OTHER OFFICERS AND OFFICIALS,Office of the Historian 
OTHER OFFICERS AND OFFICIALS,Office of General Counsel
OTHER OFFICERS AND OFFICIALS,Office of Diversity and Inclusion
OTHER OFFICERS AND OFFICIALS,Office of the Whistleblower Ombuds 
"THE MEMBERS, DELEGATES, AND RESIDENT COMMISSIONER OF PUERTO RICO",Voting
"THE MEMBERS, DELEGATES, AND RESIDENT COMMISSIONER OF PUERTO RICO","Delegates and the Resident
Commissioner "
THE HALL OF THE HOUSE,Use and admittance 
THE HALL OF THE HOUSE,Gallery
THE HALL OF THE HOUSE,Prohibition on campaign contributions 
BROADCASTING THE HOUSE,BROADCASTING THE HOUSE
"OFFICIAL REPORTERS AND NEWS MEDIA
GALLERIES",Official reporters 
"OFFICIAL REPORTERS AND NEWS MEDIA
GALLERIES",News media galleries
RECORDS OF THE HOUSe,Archiving
RECORDS OF THE HOUSe,Public availability
RECORDS OF THE HOUSe,Definition of record 
RECORDS OF THE HOUSe,Withdrawal of papers 
RESPONSE TO SUBPOENAS,RESPONSE TO SUBPOENAS
QUESTIONS OF PRIVILEGE,QUESTIONS OF PRIVILEGE
ORGANIZATION OF COMMITTEES,"Committees and their legislative
jurisdictions"
ORGANIZATION OF COMMITTEES,Committee on Agriculture.
ORGANIZATION OF COMMITTEES,Committee on Appropriations
ORGANIZATION OF COMMITTEES,Committee on Armed Services.
ORGANIZATION OF COMMITTEES,Committee on the Budget.
ORGANIZATION OF COMMITTEES,Committee on Education and Labor
ORGANIZATION OF COMMITTEES,Committee on Energy and Commerce.
ORGANIZATION OF COMMITTEES,Committee on Ethics
ORGANIZATION OF COMMITTEES,Committee on Financial Services
ORGANIZATION OF COMMITTEES,Committee on Foreign Affairs
ORGANIZATION OF COMMITTEES,Committee on Homeland Security
ORGANIZATION OF COMMITTEES,Committee on House Administration. 
ORGANIZATION OF COMMITTEES,Committee on Natural Resources
ORGANIZATION OF COMMITTEES,Committee on Oversight and Reform
ORGANIZATION OF COMMITTEES,Committee on Rules
ORGANIZATION OF COMMITTEES,"Committee on Science, Space,
and Technology"
ORGANIZATION OF COMMITTEES,Committee on Small Business.
ORGANIZATION OF COMMITTEES,"Committee on Transportation
and Infrastructure. "
ORGANIZATION OF COMMITTEES,Committee on Veterans’ Affairs
ORGANIZATION OF COMMITTEES,Committee on Ways and Means. 
ORGANIZATION OF COMMITTEES,General oversight responsibilities 
ORGANIZATION OF COMMITTEES,Special oversight functions
ORGANIZATION OF COMMITTEES,Additional functions of committees
ORGANIZATION OF COMMITTEES,Budget Act responsibilities
ORGANIZATION OF COMMITTEES,"Election and membership of standing
committees "
ORGANIZATION OF COMMITTEES,Expense resolutions 
ORGANIZATION OF COMMITTEES,Interim funding 
ORGANIZATION OF COMMITTEES,Travel
ORGANIZATION OF COMMITTEES,Committee staffs
ORGANIZATION OF COMMITTEES,Select and joint committees
ORGANIZATION OF COMMITTEES,"Permanent Select Committee on
Intelligence"
"PROCEDURES OF COMMITTEES AND
UNFINISHED BUSINESS",In general
