Rule,Title,Text,Congress,Link
THE SPEAKER,Approval of the Journal,"The Speaker shall take the Chair on every legislative day precisely at the hour to which the House last adjourned and immediately call the House to order. Having examined and approved the Journal of the last day’s proceedings, the Speaker shall announce to the House approval thereof. The Speaker’s approval of the Journal shall be deemed agreed to unless a Member, Delegate, or Resident Commissioner demands a vote thereon. If such a vote is decided in the affirmative, it shall not be subject to a motion to reconsider. If such a vote is decided in the negative, then one motion that the Journal be read shall be privileged, shall be decided without debate, and shall not be subject to a motion to reconsider.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Preservation of order ,"The Speaker shall preserve order and decorum and, in case of disturbance or disorderly conduct in the galleries or in the lobby, may cause the same to be cleared.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Control of Capitol facilities ,"Except as otherwise provided by rule or law, the Speaker shall have general control of the Hall of the House, the corridors and passages in the part of the Capitol assigned to the use of the House, and the disposal of unappropriated rooms in that part of the Capitol.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Signature of documents,"The Speaker shall decide all questions of order, subject to appeal by a Member, Delegate, or Resident Commissioner. On such an appeal a Member, Delegate, or Resident Commissioner may not speak more than once without permission of the House.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Questions of order ,"The Speaker shall decide all questions of order, subject to appeal by a Member, Delegate, or Resident Commissioner. On such an appeal a Member, Delegate, or Resident Commissioner may not speak more than once without permission of the House.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Form of a question ,"The Speaker shall put a question in this form: ‘‘Those in favor (of the question), say ‘Aye.’’’; and after the affirmative voice is expressed, ‘‘Those opposed, say ‘No.’’’. After a vote by voice under this clause, the Speaker may use such voting procedures as may be invoked under rule XX.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Discretion to vote ,"The Speaker is not required to vote in ordinary legislative proceedings, except when such vote would be decisive or when the House is engaged in voting by ballot.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Speaker pro tempore ,"(a) The Speaker may appoint a Member to perform the duties of the Chair. Except as specified in paragraph (b), such an appointment may not extend beyond three legislative days. (b)(1) In the case of illness, the Speaker may appoint a Member to perform the duties of the Chair for a period not exceeding 10 days, subject to the approval of the House. If the Speaker is absent and has omitted to make such an appointment, then the House shall elect a Speaker pro tempore to act during the absence of the Speaker. (2) With the approval of the House, the Speaker may appoint a Member to act as Speaker pro tempore only to sign enrolled bills and joint resolutions for a specified period of time. (3)(A) In the case of a vacancy in the Office of Speaker, the next Member on the list described in subdivision (B) shall act as Speaker pro tempore until the election of a Speaker or a Speaker pro tempore. Pending such election the Member acting as Speaker pro tempore may exercise such authorities of the Office of Speaker as may be necessary and appropriate to that end. (B) As soon as practicable after the election of the Speaker and whenever appropriate thereafter, the Speaker shall deliver to the Clerk a list of Members in the order in which each shall act as Speaker pro tempore under subdivision (A). (C) For purposes of subdivision (A), a vacancy in the Office of Speaker may exist by reason of the physical inability of the Speaker to discharge the duties of the office.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Other responsibilities ,"The Speaker, in consultation with the Minority Leader, shall develop through an appropriate entity of the House a system for drug testing in the House. The system may provide for the testing of a Member, Delegate, Resident Commissioner, officer, or employee of the House, and otherwise shall be comparable in scope to the system for drug testing in the executive branch pursuant to Executive Order 12564 (Sept. 15, 1986). The expenses of the system may be paid from applicable accounts of the House for official expenses.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Designation of travel ,"The Speaker may designate a Member, Delegate, Resident Commissioner, officer, or employee of the House to travel on the business of the House within or without the United States, whether the House is meeting, has recessed, or has adjourned. Expenses for such travel may be paid from applicable accounts of the House described in clause 1(k)(1) of rule X on vouchers approved and signed solely by the Speaker.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
